2022-05-24T18:40:50.472486307Z .:5353
2022-05-24T18:40:50.472619666Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:50.472654510Z CoreDNS-1.8.7
2022-05-24T18:40:50.472654510Z linux/amd64, go1.17.5, 
2022-05-24T19:21:51.689951520Z [INFO] 10.129.0.4:52252 - 51942 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.0003622s
2022-05-24T19:22:41.617113240Z [INFO] 10.128.0.75:33159 - 18184 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000339861s
2022-05-24T19:22:49.281891643Z [INFO] 10.128.4.12:36158 - 40039 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000295201s
2022-05-24T19:22:49.566654073Z [INFO] 10.128.4.12:60856 - 25043 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000494313s
2022-05-24T19:22:56.513392856Z [INFO] 10.128.4.12:60545 - 61287 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000329886s
2022-05-24T19:22:56.691002227Z [INFO] 10.128.4.12:60664 - 15083 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000395231s
2022-05-24T19:22:56.997440742Z [INFO] 10.128.4.12:58366 - 60041 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000273398s
2022-05-24T19:22:57.011687236Z [INFO] 10.128.4.12:49214 - 16440 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000257359s
2022-05-24T19:24:40.456741791Z [INFO] 10.128.4.12:49246 - 31592 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000294184s
2022-05-24T19:25:06.829673913Z [INFO] 10.128.4.12:50790 - 20566 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000713007s
2022-05-24T19:25:17.678828266Z [INFO] 10.128.0.75:32911 - 45965 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000335321s
2022-05-24T19:28:42.406938741Z [INFO] 10.128.4.12:48231 - 39297 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000344534s
2022-05-24T19:28:42.692986734Z [INFO] 10.128.4.12:38869 - 44340 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000283998s
