2022-05-24T18:40:08.722914421Z .:5353
2022-05-24T18:40:08.723012513Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:08.723022065Z CoreDNS-1.8.7
2022-05-24T18:40:08.723022065Z linux/amd64, go1.17.5, 
2022-05-24T19:05:01.488873227Z [INFO] 10.128.4.12:35113 - 24056 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.003345093s
2022-05-24T19:05:26.420796785Z [INFO] 10.129.2.6:51810 - 38889 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00034586s
2022-05-24T19:06:26.455026292Z [INFO] 10.129.2.6:50740 - 54438 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000422949s
2022-05-24T19:06:44.541509552Z [INFO] 10.128.0.75:51620 - 15753 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000388487s
2022-05-24T19:06:45.010234203Z [INFO] 10.128.0.75:34067 - 14983 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000373393s
2022-05-24T19:07:05.210314672Z [INFO] 10.128.0.75:37572 - 19593 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000388347s
2022-05-24T19:07:42.640576184Z [INFO] 10.131.2.2:44943 - 37458 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000404264s
2022-05-24T19:08:53.636089574Z [INFO] 10.130.2.2:53125 - 27571 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000326789s
2022-05-24T19:09:47.882794759Z [INFO] 10.128.0.28:50619 - 59457 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000389869s
2022-05-24T19:10:59.300206987Z [INFO] 10.128.0.75:53030 - 26308 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000402819s
2022-05-24T19:12:22.863643723Z [INFO] 10.131.2.5:43208 - 15146 "A IN inputs11.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.000362081s
2022-05-24T19:13:11.121705036Z [INFO] 10.130.2.11:33109 - 33827 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000330369s
2022-05-24T19:16:11.427801080Z [INFO] 10.128.0.75:51655 - 35263 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000434396s
2022-05-24T19:17:39.232766197Z [INFO] 10.131.2.8:58521 - 15923 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000465876s
2022-05-24T19:18:54.279243104Z [INFO] 10.130.2.2:60179 - 19770 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000639777s
2022-05-24T19:22:49.223779995Z [INFO] 10.128.4.12:46195 - 55479 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000320647s
2022-05-24T19:22:49.237292003Z [INFO] 10.128.4.12:42141 - 21121 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000263343s
2022-05-24T19:22:49.282927171Z [INFO] 10.128.4.12:33597 - 64823 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.001178666s
2022-05-24T19:22:49.317194511Z [INFO] 10.128.4.12:58351 - 3241 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000285834s
2022-05-24T19:22:49.329397462Z [INFO] 10.128.4.12:38806 - 52706 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000224032s
2022-05-24T19:22:56.691065323Z [INFO] 10.128.4.12:44457 - 59088 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000343649s
2022-05-24T19:22:56.696058377Z [INFO] 10.128.4.12:52229 - 60405 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000287205s
2022-05-24T19:22:56.997682429Z [INFO] 10.128.4.12:36285 - 19963 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.0003691s
2022-05-24T19:22:58.206457177Z [INFO] 10.128.4.12:46033 - 12866 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00029015s
2022-05-24T19:25:43.794493840Z [INFO] 10.131.2.2:52984 - 50396 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000266749s
2022-05-24T19:26:48.396317267Z [INFO] 10.131.0.6:38609 - 7632 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000233864s
2022-05-24T19:26:49.021421548Z [INFO] 10.128.0.28:50956 - 5693 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000290418s
2022-05-24T19:27:53.743547083Z [INFO] 10.128.0.75:35851 - 51740 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000340833s
2022-05-24T19:28:01.885847474Z [INFO] 10.128.4.12:57172 - 19051 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000319765s
2022-05-24T19:28:12.741653289Z [INFO] 10.128.2.5:35744 - 23756 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000291958s
2022-05-24T19:29:11.776182247Z [INFO] 10.128.0.75:46875 - 48639 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00067179s
2022-05-24T19:30:44.120101549Z [INFO] 10.131.2.2:33559 - 56708 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000589886s
2022-05-24T19:31:12.243825636Z [INFO] 10.128.4.12:59629 - 18106 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000348795s
2022-05-24T19:32:13.852654520Z [INFO] 10.128.0.75:55218 - 7249 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000322426s
