2022-05-24T18:44:20.042249068Z I0524 18:44:20.042221       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:44:20.042434510Z I0524 18:44:20.042410       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:44:20.043840049Z I0524 18:44:20.043814       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:44:20.043976426Z I0524 18:44:20.043959       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:44:24.491454674Z I0524 18:44:24.491389       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:44:24.491682993Z I0524 18:44:24.491648       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:44:26.495553496Z I0524 18:44:26.495505       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:44:26.495868819Z I0524 18:44:26.495803       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:44:50.513789908Z I0524 18:44:50.513718       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:44:50.514004168Z I0524 18:44:50.513963       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:44:52.512527042Z I0524 18:44:52.512484       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:44:52.512747157Z I0524 18:44:52.512724       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:45:16.535981153Z I0524 18:45:16.535930       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:45:16.536188776Z I0524 18:45:16.536166       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:45:18.524362463Z I0524 18:45:18.524262       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:45:18.524502220Z I0524 18:45:18.524480       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:45:42.558181702Z I0524 18:45:42.558112       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:45:42.558403797Z I0524 18:45:42.558380       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:45:44.535187522Z I0524 18:45:44.535126       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:45:44.535432408Z I0524 18:45:44.535407       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:46:08.579251713Z I0524 18:46:08.579204       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:46:08.579461764Z I0524 18:46:08.579433       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:46:10.550381048Z I0524 18:46:10.550329       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:46:10.550626592Z I0524 18:46:10.550572       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:46:34.598637680Z I0524 18:46:34.598558       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:46:34.598800828Z I0524 18:46:34.598778       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:46:36.565406300Z I0524 18:46:36.565360       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:46:36.565778085Z I0524 18:46:36.565723       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:47:00.622264098Z I0524 18:47:00.622206       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:47:00.622437617Z I0524 18:47:00.622414       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:47:02.577204264Z I0524 18:47:02.577149       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:47:02.577423472Z I0524 18:47:02.577397       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:47:26.645097433Z I0524 18:47:26.645047       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:47:26.645312109Z I0524 18:47:26.645258       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:47:28.593780000Z I0524 18:47:28.593731       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:47:28.593969402Z I0524 18:47:28.593940       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:47:52.666248234Z I0524 18:47:52.666198       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:47:52.666440041Z I0524 18:47:52.666419       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:47:54.606734524Z I0524 18:47:54.606686       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:47:54.606945408Z I0524 18:47:54.606924       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:48:18.684920689Z I0524 18:48:18.684862       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:48:18.685154464Z I0524 18:48:18.685129       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:48:20.621222259Z I0524 18:48:20.621179       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:48:20.621416447Z I0524 18:48:20.621398       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:48:44.706144535Z I0524 18:48:44.706056       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:48:44.706353229Z I0524 18:48:44.706327       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:48:46.636021314Z I0524 18:48:46.635940       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:48:46.636244358Z I0524 18:48:46.636221       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:49:10.725663763Z I0524 18:49:10.725587       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:49:10.725869421Z I0524 18:49:10.725844       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:49:12.647280736Z I0524 18:49:12.647213       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:49:12.647451619Z I0524 18:49:12.647431       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
