2022-05-24T18:36:06.461341167Z .:5353
2022-05-24T18:36:06.461572834Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:36:06.461572834Z CoreDNS-1.8.7
2022-05-24T18:36:06.461572834Z linux/amd64, go1.17.5, 
2022-05-24T18:44:24.792645685Z [INFO] 10.128.0.75:44237 - 14439 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000322495s
2022-05-24T18:44:25.035191511Z [INFO] 10.128.0.75:40235 - 55514 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000302718s
2022-05-24T18:44:25.970840322Z [INFO] 10.128.0.75:53699 - 59652 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000350958s
2022-05-24T18:44:27.436694299Z [INFO] 10.128.0.75:36608 - 6523 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000367623s
2022-05-24T18:45:15.803779205Z [INFO] 10.128.4.5:41561 - 58794 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000794281s
2022-05-24T18:46:15.869445109Z [INFO] 10.128.4.5:54870 - 27778 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000419168s
2022-05-24T18:47:25.589235750Z [INFO] 10.129.2.6:47317 - 8469 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000337367s
2022-05-24T18:49:46.521066562Z [INFO] 10.128.0.28:59667 - 57318 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000312672s
2022-05-24T18:50:11.056136322Z [INFO] 10.128.2.5:58858 - 23261 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000308131s
2022-05-24T18:51:28.813531478Z [INFO] 10.128.0.75:34550 - 46629 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.0004001s
2022-05-24T18:51:41.691785101Z [INFO] 10.128.4.12:49107 - 24921 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000352054s
2022-05-24T18:51:47.334811476Z [INFO] 10.128.4.12:56396 - 14794 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000425586s
2022-05-24T18:52:00.619766040Z [INFO] 10.128.4.12:49660 - 55477 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.004199569s
2022-05-24T18:52:46.673043482Z [INFO] 10.131.0.6:60178 - 25914 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000293669s
2022-05-24T18:52:46.842468410Z [INFO] 10.128.0.75:53730 - 31705 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000271124s
2022-05-24T18:56:07.343109155Z [INFO] 10.131.2.8:50161 - 58231 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.001226487s
2022-05-24T18:56:46.895201222Z [INFO] 10.131.0.6:49918 - 60274 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000324709s
