2022-05-24T18:27:36.952892434Z .:5353
2022-05-24T18:27:36.953043610Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:27:36.953057071Z CoreDNS-1.8.7
2022-05-24T18:27:36.953057071Z linux/amd64, go1.17.5, 
2022-05-24T18:30:26.506020360Z [INFO] 10.130.2.15:48449 - 37077 "AAAA IN alertmanager-main-1.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000270839s
2022-05-24T18:30:37.952718282Z [INFO] 10.129.0.69:38475 - 31929 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000333553s
2022-05-24T18:30:38.127020447Z [INFO] 10.129.0.69:46085 - 62711 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000281781s
2022-05-24T18:30:38.262285029Z [INFO] 10.129.0.69:46308 - 2067 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000267423s
2022-05-24T18:30:40.157305608Z [INFO] 10.129.0.69:46758 - 51936 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000286826s
2022-05-24T18:30:40.623184323Z [INFO] 10.129.0.69:60756 - 3339 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000381168s
2022-05-24T18:30:40.716859728Z [INFO] 10.129.0.69:51860 - 19479 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000308654s
2022-05-24T18:30:43.625795776Z [INFO] 10.129.0.69:50570 - 46368 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000325563s
2022-05-24T18:30:44.224700911Z [INFO] 10.129.0.69:44350 - 29232 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000375431s
2022-05-24T18:30:44.454753091Z [INFO] 10.129.0.69:48079 - 44630 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00033755s
2022-05-24T18:30:44.828178215Z [INFO] 10.129.0.69:60518 - 31134 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000307052s
2022-05-24T18:30:45.981698308Z [INFO] 10.129.0.69:57645 - 59931 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000310014s
2022-05-24T18:30:46.586297811Z [INFO] 10.129.0.69:34030 - 11984 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000946286s
2022-05-24T18:30:47.815016585Z [INFO] 10.129.0.69:45448 - 62552 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000300843s
2022-05-24T18:30:50.161975586Z [INFO] 10.129.0.69:42878 - 45684 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000315692s
2022-05-24T18:30:50.162012258Z [INFO] 10.129.0.69:50268 - 18800 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000383865s
2022-05-24T18:30:50.759703556Z [INFO] 10.129.0.69:49413 - 29758 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000315775s
2022-05-24T18:30:52.047122980Z [INFO] 10.129.0.69:48825 - 61415 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000287189s
2022-05-24T18:30:52.162857274Z [INFO] 10.129.0.69:51840 - 24813 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00031291s
2022-05-24T18:30:53.759934749Z [INFO] 10.129.0.69:42589 - 49931 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000258698s
2022-05-24T18:31:11.481340600Z [INFO] 10.130.2.15:39700 - 300 "A IN alertmanager-main-1.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000300457s
2022-05-24T18:31:26.482012610Z [INFO] 10.130.2.15:39808 - 20546 "A IN alertmanager-main-1.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000593394s
2022-05-24T18:31:26.491351922Z [INFO] 10.130.2.15:43732 - 29257 "A IN alertmanager-main-1.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000223917s
2022-05-24T18:31:26.491393842Z [INFO] 10.130.2.15:59518 - 44344 "AAAA IN alertmanager-main-1.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000266286s
2022-05-24T18:31:53.253731803Z [INFO] 10.129.0.69:38663 - 12435 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000349321s
2022-05-24T18:31:55.448370918Z [INFO] 10.129.0.69:40377 - 44818 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000326412s
2022-05-24T18:31:56.483692429Z [INFO] 10.130.2.15:53286 - 26119 "A IN alertmanager-main-1.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000321349s
2022-05-24T18:31:56.496820871Z [INFO] 10.130.2.15:48970 - 61564 "AAAA IN alertmanager-main-1.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.002335298s
2022-05-24T18:32:04.692541007Z [INFO] 10.129.0.69:60204 - 61988 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000284349s
2022-05-24T18:32:11.480116354Z [INFO] 10.130.2.15:34050 - 38123 "AAAA IN alertmanager-main-1.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000440761s
2022-05-24T18:32:11.531814638Z [INFO] 10.130.2.15:53991 - 56053 "A IN alertmanager-main-1.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000328712s
2022-05-24T18:32:26.518743652Z [INFO] 10.130.2.15:46355 - 57587 "A IN alertmanager-main-1.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000204973s
2022-05-24T18:32:27.788347448Z [INFO] 10.129.0.69:33748 - 62768 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000291169s
2022-05-24T18:32:31.223831971Z [INFO] 10.131.2.5:59118 - 18499 "A IN inputs9.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000236233s
2022-05-24T18:33:16.149691585Z [INFO] 10.130.2.4:50922 - 47699 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000379162s
2022-05-24T18:35:07.468806570Z [INFO] 10.131.2.11:40582 - 62379 "A IN infogw.api.openshift.com.ec2.internal. udp 66 false 512" NXDOMAIN qr,rd,ra 55 0.000309823s
2022-05-24T18:35:07.550662027Z [INFO] 10.131.2.11:53357 - 26564 "A IN infogw.api.openshift.com.ec2.internal. udp 66 false 512" NXDOMAIN qr,rd,ra 55 0.00031502s
2022-05-24T18:35:07.628948457Z [INFO] 10.131.2.11:45369 - 64832 "AAAA IN infogw.api.openshift.com.ec2.internal. udp 66 false 512" NXDOMAIN qr,rd,ra 55 0.000275219s
2022-05-24T18:35:27.544329029Z [INFO] 10.131.2.7:49652 - 20038 "AAAA IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.001600862s
2022-05-24T18:35:42.545205866Z [INFO] 10.131.2.7:43955 - 53694 "AAAA IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000302596s
2022-05-24T18:36:57.531549916Z [INFO] 10.131.2.7:58225 - 38608 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000336752s
2022-05-24T18:37:11.043157739Z [INFO] 10.128.0.75:44388 - 42200 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000410782s
